Date,SPY,XLK,XLF,XLE,XLV
2015-01-02,170.12498474121094,18.084272384643555,16.274782180786133,25.54806137084961,57.05782699584961
2015-01-05,167.05258178710938,17.808212280273438,15.932580947875977,24.491191864013672,56.76686477661133
2015-01-06,165.47914123535156,17.59349250793457,15.689081192016602,24.13140106201172,56.57564926147461
2015-01-07,167.5411834716797,17.742483139038086,15.85360622406006,24.182811737060547,57.90586853027344
2015-01-08,170.51425170898438,18.13247871398925,16.09052085876465,24.72569274902344,58.89517974853516
2015-01-09,169.1478271484375,18.075515747070312,15.873345375061035,24.52973937988281,58.37141036987305
2015-01-12,167.82276916503906,17.865177154541016,15.74173355102539,23.82301139831543,58.39635848999024
2015-01-13,167.35076904296875,17.85203742980957,15.689081192016602,23.63348197937012,58.138648986816406
2015-01-14,166.34043884277344,17.751249313354492,15.465324401855469,23.70737075805664,58.04719924926758
2015-01-15,164.81666564941406,17.523386001586914,15.274473190307615,23.405397415161133,57.42365646362305
2015-01-16,166.97805786132812,17.694276809692383,15.458745956420898,24.1667423248291,58.50443649291992
2015-01-20,167.334228515625,17.843273162841797,15.392938613891602,24.195646286010746,58.50443649291992
2015-01-21,168.1788787841797,17.873945236206055,15.432416915893556,24.687145233154297,58.620853424072266
2015-01-22,170.6798858642578,18.16752815246582,15.814117431640623,24.80279541015625,59.3192024230957
2015-01-23,169.7440643310547,18.16314697265625,15.643010139465332,24.62611961364746,58.97832489013672
2015-01-26,170.14158630371094,18.088659286499023,15.721982955932615,24.979469299316406,59.28593826293945
2015-01-27,167.89730834960938,17.56720542907715,15.55087661743164,24.96340751647949,58.861961364746094
2015-01-28,165.74411010742188,17.536535263061523,15.267895698547363,23.98042106628418,58.0139274597168
2015-01-29,167.27621459960938,17.703044891357422,15.392938613891602,24.06072998046875,58.50443649291992
2015-01-30,165.17271423339844,17.48395347595215,15.142854690551758,24.2695369720459,57.58993148803711
2015-02-02,167.21826171875,17.66361427307129,15.386353492736816,25.01160049438477,57.9141731262207
2015-02-03,169.63641357421875,17.865177154541016,15.643010139465332,25.695837020874023,58.30492401123047
2015-02-04,168.9904327392578,17.900232315063477,15.603530883789062,25.271791458129883,57.57329559326172
2015-02-05,170.69639587402344,18.06674766540528,15.761465072631836,25.634801864624023,58.5460090637207
2015-02-06,170.22439575195312,18.009784698486328,15.886514663696287,25.641225814819336,58.0139274597168
2015-02-09,169.4625244140625,17.983491897583008,15.807533264160156,25.666927337646484,57.33220291137695
2015-02-10,171.26780700683594,18.25078582763672,15.932580947875977,25.65406608581543,58.29660415649414
2015-02-11,171.3671875,18.32089614868164,15.932580947875977,25.474180221557617,58.35480880737305
2015-02-12,173.01522827148438,18.57066535949707,16.09052085876465,25.808258056640625,58.562625885009766
2015-02-13,173.7274627685547,18.68898582458496,16.077354431152344,26.354368209838867,58.795440673828125
2015-02-17,174.00071716308594,18.69774627685547,16.1300048828125,26.43467712402344,59.21942901611328
2015-02-18,174.0172576904297,18.71527099609375,16.031291961669922,26.119861602783203,59.28593826293945
2015-02-19,173.89300537109375,18.781005859375,15.96548843383789,25.99779510498047,59.385719299316406
2015-02-20,174.93649291992188,18.877410888671875,16.083938598632812,25.872514724731445,60.00925064086914
2015-02-23,174.91168212890625,18.890554428100582,16.044450759887695,25.76650047302246,60.28361129760742
2015-02-24,175.40855407714844,18.9475212097168,16.12342643737793,25.83717536926269,60.208770751953125
2015-02-25,175.25949096679688,18.82920265197754,16.12342643737793,25.978525161743164,60.183837890625
2015-02-26,175.05247497558594,18.9475212097168,16.083938598632812,25.496660232543945,60.35014724731445
2015-02-27,174.45619201660156,18.88178443908692,16.02471351623535,25.38422584533692,60.05914688110352
2015-03-02,175.55764770507812,19.0307731628418,16.143171310424805,25.20755195617676,60.59954071044922
2015-03-03,174.83709716796875,18.903697967529297,16.09710121154785,25.300704956054688,60.05081558227539
2015-03-04,174.1000213623047,18.82920265197754,15.998384475708008,25.26537322998047,60.341835021972656
2015-03-05,174.29055786132812,18.807292938232425,16.06419563293457,25.11439323425293,60.55796051025391
2015-03-06,171.83924865722656,18.57505416870117,15.945740699768066,24.66465950012207,59.36907196044922
2015-03-09,172.55140686035156,18.66269302368164,16.018129348754883,24.487972259521484,59.734893798828125
2015-03-10,169.75234985351562,18.28145980834961,15.675917625427246,24.1474666595459,59.06978225708008
2015-03-11,169.35487365722656,18.16314697265625,15.774629592895508,24.2181339263916,59.03653335571289
2015-03-12,171.50799560546875,18.28145980834961,16.116840362548828,24.063941955566406,59.81803131103516
2015-03-13,170.4562225341797,18.18067741394043,16.004968643188477,23.9739933013916,59.70162963867188
2015-03-16,172.73367309570312,18.39538955688477,16.20240020751953,24.298452377319336,61.02351760864258
2015-03-17,172.22018432617188,18.3997802734375,16.16290855407715,24.20528221130371,60.84896469116211
2015-03-18,174.29055786132812,18.64955139160156,16.255043029785156,24.90880012512207,61.63874435424805
2015-03-19,173.4955291748047,18.596960067749023,16.103687286376953,24.513671875,61.99626541137695
2015-03-20,175.02696228027344,18.717086791992188,16.32233238220215,24.87428474426269,62.44479370117188
2015-03-23,174.6859130859375,18.717086791992188,16.22985076904297,24.786964416503903,62.26974105834961
2015-03-24,173.7042999267578,18.655492782592773,16.097736358642578,24.622020721435547,61.72780227661133
2015-03-25,171.15890502929688,18.175893783569336,15.84012508392334,24.94220733642578,60.602294921875
2015-03-26,170.75131225585938,18.189096450805664,15.826912879943848,24.913101196289062,60.46055603027344
2015-03-27,171.14224243164062,18.202289581298828,15.807086944580078,24.709341049194336,60.89409637451172
